CNTR_ID,region,ref_class,A_frame_country_ha,pi_post_mean,pi_post_median,pi_ci_lo,pi_ci_hi,A_post_mean_ha,A_post_median_ha,A_ci_lo,A_ci_hi,kappa_global,alpha0,n_eff_country
AD,Western,0,26530.48,0.8480037671186503,0.8558780090480105,0.6951567303728134,0.9536119146224689,22497.946983466012,22706.85440148806,18442.84173202132,25299.78182865312,25.931647861794808,0.5,1.0
AD,Western,1,26530.48,0.004569671929064169,8.429030647396458e-05,2.9350154982800656e-15,0.04219847877037915,121.23558972059836,2.2362622901013878,7.786736997680932e-11,1119.5458970479685,25.931647861794808,0.5,1.0
AD,Western,2,26530.48,0.07918926238738594,0.06918166067638182,0.011268887492740801,0.20701117384342124,2100.929141983295,1835.4226649415345,298.96899424841,5492.105807429411,25.931647861794808,0.5,1.0
AD,Western,3,26530.48,0.002845565426466073,2.9908011338501305e-06,1.4608661594204364e-22,0.028957012913550507,75.49421663554962,0.07934738966558821,3.87574804251807e-18,768.2434519626935,25.931647861794808,0.5,1.0
AD,Western,4,26530.48,0.0012626546778923345,2.904169014317278e-11,1.6065756828793717e-50,0.015071573687478378,33.49883467872902,7.704899795096426e-07,4.262322402311751e-46,399.85608428417135,25.931647861794808,0.5,1.0
AD,Western,5,26530.48,0.005236121313761047,0.00015264997946277245,6.992870210990197e-15,0.044755102983522234,138.91681179231117,4.049877227137495,1.8552420327527118e-10,1187.374364602277,25.931647861794808,0.5,1.0
AD,Western,6,26530.48,0.03737058932993963,0.026753158622124455,0.0010658964254119888,0.135906454544241,991.4596728061767,709.7741397611005,28.27874379646426,3605.6634741568946,25.931647861794808,0.5,1.0
AD,Western,7,26530.48,0.021522367816840488,0.011597674993334039,5.919394417565372e-05,0.09777341214633477,570.9987489173302,307.69188445714883,1.5704437520732974,2593.9755554800913,25.931647861794808,0.5,1.0
AL,SE_Europe,0,1818558.77,0.9480629702540009,0.9505923514714016,0.8989886291749727,0.9811810871944584,1724108.2290676627,1728708.0574632399,1634863.6557164243,1784335.471075617,25.931647861794808,0.5,85.0
AL,SE_Europe,1,1818558.77,0.0035537041570130328,0.0012355819320015308,3.90144963252943e-07,0.020201766361134608,6462.619860721507,2246.9783584949273,0.7095015444949673,36738.09938553233,25.931647861794808,0.5,85.0
AL,SE_Europe,2,1818558.77,6.601441294160197e-05,1.3410546777753086e-40,7.693227736361415e-210,0.0002663188701449955,120.05108960135173,2.4387867453178118e-34,1.39905867695673e-203,484.3165169186727,25.931647861794808,0.5,85.0
AL,SE_Europe,3,1818558.77,0.004741308057415465,0.0022613258781063773,6.168724714539494e-06,0.022341914048576744,8622.347349084555,4112.354007458303,11.218188429341545,40630.08373162544,25.931647861794808,0.5,85.0
AL,SE_Europe,4,1818558.77,0.0009263813384563708,4.946641002075379e-06,2.367123086850161e-19,0.00948124568615098,1684.6789074141711,8.995757376365768,4.304752449260832e-13,17242.202493074532,25.931647861794808,0.5,85.0
AL,SE_Europe,5,1818558.77,6.670322700403321e-05,1.2482133325028415e-44,4.379125059074672e-226,0.00012888929311078077,121.30373845548542,2.2699493026539686e-38,7.963696281107012e-220,234.39275434571096,25.931647861794808,0.5,85.0
AL,SE_Europe,6,1818558.77,0.010537628530775783,0.007712659888873144,0.00041594595862286336,0.036478670671399815,19163.29677964452,14025.925280937481,756.4221708996653,66338.60646741591,25.931647861794808,0.5,85.0
AL,SE_Europe,7,1818558.77,0.03204529002239282,0.029014374032044078,0.0079770026564465,0.07200616117213483,58276.24320741596,52764.34435203402,14506.64813919408,130947.43589361929,25.931647861794808,0.5,85.0
AT,Central,0,4518328.93,0.8183690869126216,0.819715040992203,0.7588919459465441,0.8701941650415044,3697660.720814982,3703742.1840712065,3428923.434114266,3931823.470624224,25.931647861794808,0.5,153.0
AT,Central,1,4518328.93,0.0067532757595062404,0.005010873636031557,0.00026781948694495553,0.022371615642589663,30513.521236444773,22640.775314255676,1210.0965358811497,101082.31816875341,25.931647861794808,0.5,153.0
AT,Central,2,4518328.93,0.000614717436154145,6.661122167947884e-06,1.0538049569274777e-17,0.005491002772186846,2777.4955755507012,30.097140997703242,4.761437423462826e-11,24810.15668028202,25.931647861794808,0.5,153.0
AT,Central,3,4518328.93,0.00018304669656651448,8.316761442746899e-13,8.391421532489473e-54,0.002100188907948889,827.065184637414,3.757786383067185e-06,3.7915202674072113e-47,9489.34430125057,25.931647861794808,0.5,153.0
AT,Central,4,4518328.93,3.806169929644753e-05,1.0928200220507496e-49,2.1436917507618668e-266,5.8050663313469216e-05,171.97527705609951,4.9377203209151394e-43,9.685904454469692e-260,262.29199145493766,25.931647861794808,0.5,153.0
AT,Central,5,4518328.93,3.695253690745529e-05,5.993915836087827e-42,1.1572041083774488e-201,7.810916658114201e-05,166.96371654584794,2.7082483326180763e-35,5.228628800796682e-195,352.92290706176306,25.931647861794808,0.5,153.0
AT,Central,6,4518328.93,0.15488334616915136,0.1538090092754239,0.10682447240600322,0.21120140273578386,699813.9037712812,694959.6963037862,482668.10410403105,954277.4080376732,25.931647861794808,0.5,153.0
AT,Central,7,4518328.93,0.01912151278979634,0.017404751116384745,0.004610209150453721,0.0434541872461242,86397.28442350178,78640.39048861098,20830.441377845767,196340.31136380002,25.931647861794808,0.5,153.0
BA,SE_Europe,0,2181704.63,0.9850678154521837,0.9884315131400894,0.951290298872204,0.999086418615909,2149127.0138360146,2156465.608655639,2075434.4495235712,2179711.4652644466,25.931647861794808,0.5,63.0
BA,SE_Europe,1,2181704.63,0.008427428440248769,0.005099302103933145,9.045743168233467e-05,0.03488558710661674,18386.159647084416,11125.171009919683,197.35139751925823,76110.04691077404,25.931647861794808,0.5,63.0
BA,SE_Europe,2,2181704.63,8.021505120831545e-05,1.3846691444212387e-40,9.735712704208159e-208,0.00016633210323661955,175.0055486168689,3.0209390834019546e-34,2.124044948312076e-201,362.8875197489709,25.931647861794808,0.5,63.0
BA,SE_Europe,3,2181704.63,0.0009697702592978064,1.415555304929867e-06,3.6718259641356273e-22,0.010526303252070938,2115.7522647463247,3.0883235627865524,8.010839706508913e-16,22965.28454182722,25.931647861794808,0.5,63.0
BA,SE_Europe,4,2181704.63,0.00042670988477252553,1.0609912213759371e-11,1.6388859547054987e-51,0.004706062032384627,930.9549312749854,2.3147694600652366e-05,3.575565075422957e-45,10267.237325120748,25.931647861794808,0.5,63.0
BA,SE_Europe,5,2181704.63,7.04752177291054e-05,6.230304990022003e-47,3.064016154859595e-230,7.559836536872592e-05,153.75610881984733,1.3592685243043106e-40,6.684778231451975e-224,164.93330374538098,25.931647861794808,0.5,63.0
BA,SE_Europe,6,2181704.63,0.0007164976354255825,2.7828106596458394e-07,2.422290818462127e-26,0.007595906679987843,1563.1862085920452,0.6071270900562682,5.2847230938453114e-20,16572.024772777408,25.931647861794808,0.5,63.0
BA,SE_Europe,7,2181704.63,0.0042410880591343516,0.001380625914842918,4.1666359788885954e-07,0.024519943079336134,9252.801454851127,3012.11795071078,0.909036900666583,53495.2733435241,25.931647861794808,0.5,63.0
BE,Western,0,2234881.35,0.9501457614043789,0.9529184691345903,0.9025881668434401,0.9821093616270146,2123463.0419441964,2129659.7147394465,2017177.4608090925,2194897.8959606206,25.931647861794808,0.5,82.0
BE,Western,1,2234881.35,0.012680142695956263,0.009881935040749114,0.0007799276797355089,0.03989444456436783,28338.614426531374,22084.952324481685,1743.0458257896619,89159.35012551455,25.931647861794808,0.5,82.0
BE,Western,2,2234881.35,0.019641334368490648,0.01684114055452058,0.002423712398074,0.05264347022113605,43896.05186925378,37637.950938026705,5416.709636219359,117651.90979649735,25.931647861794808,0.5,82.0
BE,Western,3,2234881.35,0.0009129277438513725,4.6970351298001505e-06,9.009900759475797e-19,0.008706405677593064,2040.2851886310093,10.497316211885185,2.0136059172703296e-12,19457.783674386854,25.931647861794808,0.5,82.0
BE,Western,4,2234881.35,0.00030818914907911125,4.1474892588751105e-12,1.42093053421502e-51,0.003393743405905367,688.7661815492754,9.269146393985307e-06,3.175611150562685e-45,7584.613844543384,25.931647861794808,0.5,82.0
BE,Western,5,2234881.35,0.001198358051486135,2.5613987966681894e-05,1.774401812390853e-14,0.010984107827151956,2678.1880598887033,57.24422400586178,3.965577517918517e-08,24548.177729290932,25.931647861794808,0.5,82.0
BE,Western,6,2234881.35,0.009239007259323742,0.006319788489557502,0.0002731889926816641,0.03420100958113938,20648.085016377245,14123.977431256732,610.5449847695377,76435.19846405971,25.931647861794808,0.5,82.0
BE,Western,7,2234881.35,0.0058742793274338565,0.003289754666140912,2.5235680962847408e-05,0.02565427481977798,13128.31731357247,7352.211349433801,56.39875273841771,57334.26034249642,25.931647861794808,0.5,82.0
BG,SE_Europe,0,6316558.6,0.9652377069401383,0.9671346042754846,0.9333270784846243,0.985971804042677,6096980.538817011,6108962.401993908,5895415.184214928,6227948.678183286,25.931647861794808,0.5,157.0
BG,SE_Europe,1,6316558.6,0.011278721365975039,0.009663796216902065,0.0015007114481842456,0.030798158689708838,71242.70444125337,61041.935102520205,9479.33180414665,194538.37413564508,25.931647861794808,0.5,157.0
BG,SE_Europe,2,6316558.6,3.819720579857926e-05,2.2654713413938708e-41,2.5550231942020766e-211,0.00011527731782763426,241.2748887829857,1.430998248453499e-34,1.6138953730536597e-204,728.1559333090765,25.931647861794808,0.5,157.0
