country,ref_class,class_label,disturbance,disturbance_label,est_ha_mean,est_ha_ci_lo,est_ha_ci_hi,share_within_class_mean,share_within_class_ci_lo,share_within_class_ci_hi
AD,1,Inland marshes,0,least disturbed,119.224610817492,3.137287038564682,645.9841522216772,1.0,1.0,1.0
AD,1,Inland marshes,1,intermediately disturbed,8.927796115506138e-13,5.544869264803056e-13,1.4130083252550038e-12,4.8642029087880754e-14,1.2494150989721527e-15,2.985636533888517e-13
AD,1,Inland marshes,2,most disturbed,5.817391735566052e-13,3.4645827873269753e-13,9.84529143865757e-13,3.16990230159201e-14,7.615197568678016e-16,1.9125491517702155e-13
AD,2,Peatbogs,0,least disturbed,2108.0014085388184,586.2643051147461,5503.445214843742,1.0,1.0,1.0
AD,2,Peatbogs,1,intermediately disturbed,1.2141333751911326e-12,8.285858205613581e-13,1.7383411686023096e-12,7.993065402996211e-16,2.091275122047609e-16,2.113365680591692e-15
AD,2,Peatbogs,2,most disturbed,5.497164841383739e-13,3.5622475902754617e-13,8.086833028849054e-13,3.6119358452460767e-16,8.848248079194506e-17,9.967781700851807e-16
AD,3,Salt marshes,0,least disturbed,34.95878265374527,0.7699072033166886,210.59025726318345,0.4496226765933989,0.2883662336645576,0.6117651064816924
AD,3,Salt marshes,1,intermediately disturbed,29.923857837812974,0.6419215008616448,182.71441955566334,0.381760850490879,0.23457037682779347,0.5469776842181957
AD,3,Salt marshes,2,most disturbed,13.24748360744724,0.24687794595956802,82.83026618957496,0.1686164723745313,0.06326904002821199,0.3529280306311099
AD,4,Salines,0,least disturbed,28.83490852257982,0.49194696396589277,191.0854549407957,0.8998939316157311,0.7970282261867552,0.9739375531393016
AD,4,Salines,1,intermediately disturbed,3.240761358229107,0.029803029168397187,20.721522951126087,0.10010606820169354,0.026062447170977856,0.20297181442759032
AD,4,Salines,2,most disturbed,2.5271682004392877e-27,2.271062398303917e-29,1.725793178652843e-26,7.70735598066319e-29,2.7177607531706156e-29,1.6904052426426502e-28
