ref_class,map_class,ref_label,map_label,area_ha
0,0,Non-wetland,Non-wetland,317100983.3693678
0,1,Non-wetland,Inland marshes,140536.385082764
0,2,Non-wetland,Peatbogs,185515.24157055616
0,3,Non-wetland,Salt marshes,101827.63630107653
0,4,Non-wetland,Salines,0.0
0,5,Non-wetland,Intertidal flats,197574.6425865644
0,6,Non-wetland,Moors & heathland,422184.2697361506
0,7,Non-wetland,Surface water,31080.62519882062
1,0,Inland marshes,Non-wetland,287506.09278677136
1,1,Inland marshes,Inland marshes,3566708.7239050074
1,2,Inland marshes,Peatbogs,2470.764050104384
1,3,Inland marshes,Salt marshes,7412.292150313152
1,4,Inland marshes,Salines,2470.764050104384
1,5,Inland marshes,Intertidal flats,0.0
1,6,Inland marshes,Moors & heathland,0.0
1,7,Inland marshes,Surface water,103270.28071742681
2,0,Peatbogs,Non-wetland,3547148.1296329605
2,1,Peatbogs,Inland marshes,501610.2247448246
2,2,Peatbogs,Peatbogs,8630484.523492862
2,3,Peatbogs,Salt marshes,112831.14820646022
2,4,Peatbogs,Salines,0.0
2,5,Peatbogs,Intertidal flats,0.0
2,6,Peatbogs,Moors & heathland,120258.49820262434
2,7,Peatbogs,Surface water,20194.780666666666
3,0,Salt marshes,Non-wetland,7146.718008298754
3,1,Salt marshes,Inland marshes,3573.359004149377
3,2,Salt marshes,Peatbogs,0.0
3,3,Salt marshes,Salt marshes,1037287.2102848572
3,4,Salt marshes,Salines,2382.239336099585
3,5,Salt marshes,Intertidal flats,11911.196680497926
3,6,Salt marshes,Moors & heathland,37584.17841216217
3,7,Salt marshes,Surface water,2382.239336099585
4,0,Salines,Non-wetland,1768.3043269230773
4,1,Salines,Inland marshes,0.0
4,2,Salines,Peatbogs,0.0
4,3,Salines,Salt marshes,45552.12935897436
4,4,Salines,Salines,211754.2444564128
4,5,Salines,Intertidal flats,1060.982596153846
4,6,Salines,Moors & heathland,0.0
4,7,Salines,Surface water,353.6608653846154
5,0,Intertidal flats,Non-wetland,2369.1676796714582
5,1,Intertidal flats,Inland marshes,0.0
5,2,Intertidal flats,Peatbogs,0.0
5,3,Intertidal flats,Salt marshes,2470.764050104384
5,4,Intertidal flats,Salines,1184.5838398357291
5,5,Intertidal flats,Intertidal flats,704781.6637501646
5,6,Intertidal flats,Moors & heathland,0.0
5,7,Intertidal flats,Surface water,8292.086878850103
6,0,Moors & heathland,Non-wetland,4832807.195643393
6,1,Moors & heathland,Inland marshes,0.0
6,2,Moors & heathland,Peatbogs,406890.9569705056
6,3,Moors & heathland,Salt marshes,37584.17841216217
6,4,Moors & heathland,Salines,0.0
6,5,Moors & heathland,Intertidal flats,177888.26457267493
6,6,Moors & heathland,Moors & heathland,16911006.40232283
6,7,Moors & heathland,Surface water,0.0
7,0,Surface water,Non-wetland,630292.9886496611
7,1,Surface water,Inland marshes,310888.3212463863
7,2,Surface water,Peatbogs,140660.2482008324
7,3,Surface water,Salt marshes,43430.16416666666
7,4,Surface water,Salines,55341.360847164586
7,5,Surface water,Intertidal flats,468003.6234688018
7,6,Surface water,Moors & heathland,104334.93420798011
7,7,Surface water,Surface water,18217364.329976477
