CNTR_ID,Code_18,fty_zero_ha
AD,100,67.14
AD,211,1.52
AD,311,7.28
AD,312,4.25
AD,321,1522.97
AD,322,85.7
AD,324,7.39
AD,332,2428.81
AD,333,1944.99
AD,512,36.63
AD,999,20423.8
AL,100,75016.37
AL,211,200332.1
AL,212,12360.65
AL,221,2558.35
AL,222,13733.54
AL,223,48077.12
AL,231,65914.48
AL,241,222.39
AL,242,171086.88
AL,243,175193.32
AL,311,92883.66
AL,312,18344.35
AL,313,11431.59
AL,321,274043.88
AL,322,21347.85
AL,323,165802.58
AL,324,209088.39
AL,331,20091.27
AL,332,18805.66
AL,333,125583.69
AL,334,4001.7
AL,335,2274.69
AL,411,3342.62
AL,421,5379.42
AL,422,1708.83
AL,423,27.53
AL,511,8078.65
AL,512,46359.9
AL,521,12350.04
AL,522,107.17
AL,523,13010.1
AT,100,455826.52
AT,211,1271389.6
AT,221,64203.83
AT,222,571.41
AT,231,582466.95
AT,242,320000.67
AT,243,152743.18
AT,244,44.22
AT,311,43386.01
AT,312,180087.6
AT,313,92151.02
AT,321,552624.17
AT,322,108744.78
AT,324,23976.93
AT,331,53.36
AT,332,253001.89
AT,333,296416.41
AT,335,33621.46
AT,411,16358.13
AT,412,703.25
AT,511,20824.13
AT,512,49133.41
BA,100,82326.66
BA,211,163372.49
BA,212,2234.65
BA,221,3010.29
BA,222,7975.73
BA,223,7.04
BA,231,245059.39
BA,241,45.65
BA,242,593444.97
BA,243,227533.65
BA,311,136295.74
BA,312,7456.7
BA,313,11038.32
BA,321,266477.69
BA,322,14803.75
BA,323,154220.26
BA,324,125594.5
BA,331,10.57
BA,332,5695.95
BA,333,96540.78
BA,334,2038.0
BA,411,4227.69
BA,412,694.91
BA,511,11991.36
BA,512,19202.19
BA,523,405.7
BE,100,573113.85
BE,211,641477.33
BE,222,9072.37
BE,231,315870.33
BE,242,478658.7
BE,243,104958.88
BE,311,15971.44
BE,312,15240.17
BE,313,29882.43
BE,321,764.98
BE,322,11375.75
BE,324,7144.02
BE,331,1182.1
BE,411,1806.44
BE,412,4450.13
BE,421,778.43
BE,423,1969.0
BE,511,5555.56
BE,512,9335.22
BE,522,4229.33
BE,523,2044.89
BG,100,477882.17
BG,211,3694275.66
BG,212,80.41
BG,213,36460.56
BG,221,102176.46
BG,222,44945.43
BG,231,327152.9
BG,242,184841.72
BG,243,628752.05
BG,311,72467.94
BG,312,19757.54
BG,313,19659.05
BG,321,304578.92
BG,322,17822.17
BG,323,80.73
BG,324,224762.76
BG,331,2024.5
BG,332,11697.88
BG,333,34619.31
BG,334,38.8
BG,411,6826.42
BG,412,1181.23
BG,421,386.8
BG,422,1200.14
BG,511,29833.08
BG,512,61524.55
BG,521,734.52
BG,523,10794.9
CH,100,269598.98
CH,211,563164.31
CH,221,13899.32
CH,222,5790.19
CH,231,285359.69
CH,242,90754.88
CH,243,49021.97
CH,311,14681.87
CH,312,38897.22
