CNTR_ID,class,distur_1,area_ha
AD,0,-1,4.378170964417399
AD,0,-1,25763.73040554155
AD,0,-1,1505.6109170729453
AD,0,-1,18391.825420902987
AD,1,0,0.1103948515589593
AD,1,0,0.0092445490860028
AD,2,0,1.24695692786586
AD,2,0,0.0989863294047273
AD,6,0,747.033864294394
AD,6,0,54.53093904297919
AD,6,0,83.51168889184555
AD,6,1,11.306989926618026
AD,6,1,0.3883653836229872
AD,6,1,0.0295961749342233
AD,6,2,3.073413298865596
AD,6,2,0.0735474668908501
AD,6,2,0.0271040167422636
AL,0,-1,67179.66407503455
AL,0,-1,1778832.2484155295
AL,0,-1,975566.1684203946
AL,0,-1,94381.68094660786
AL,1,0,2079.628059645063
AL,1,0,254.35016053686877
AL,1,0,102.37775371134788
AL,1,1,904.5886467551423
AL,1,1,139.37595793142972
AL,1,1,32.45691316337927
AL,1,2,2057.9398939894163
AL,1,2,191.46033037099087
AL,1,2,110.57817844404468
AL,2,0,5.699748328218743
AL,2,0,0.0030631025656832
AL,3,0,0.0041697224063928
AL,3,0,10930.13906337282
AL,3,0,652.6006788325153
AL,3,0,1121.8420797846238
AL,3,1,0.0033963798128519
AL,3,1,1732.8303693805303
AL,3,1,282.8094727702111
AL,3,1,232.88628948038192
AL,3,2,6108.222244802824
AL,3,2,284.245676695389
AL,3,2,108.08161370343105
AL,4,0,24.29784776539532
AL,4,0,6216.591435672379
AL,4,0,0.4214099899750399
AL,4,0,1.616705688587139
AL,4,1,1151.9711235185432
AL,4,1,0.6962018741912936
AL,4,1,1.7251860341082288
AL,4,2,345.8835878517645
AL,4,2,1.2859552752491985
AL,4,2,1.731747106308525
AL,5,0,212.0644543683184
AL,5,0,3751.588586165159
AL,5,0,0.2475933204229033
AL,5,0,1.7723906557475129
AL,5,1,338.6106100764757
AL,5,1,0.0160092423741129
AL,5,1,0.0346806098280706
AL,5,2,21.76035163973317
AL,6,0,4835.2652299905
AL,6,0,115.8793074133636
AL,6,0,43.58708428831519
AL,6,1,34.80439049277115
AL,6,1,2.709087393066603
AL,6,1,0.267485369154823
AL,6,2,15.911577402761075
AL,6,2,1.671567520439591
AL,6,2,0.0108741037742597
AT,0,-1,104.37044479013916
AT,0,-1,3811077.760011338
AT,0,-1,1100801.6689146883
AT,0,-1,2389960.4386826395
AT,1,0,0.0046834133016807
AT,1,0,10357.57730977912
AT,1,0,95.96955120231316
AT,1,0,7.960082362685645
AT,1,1,2231.9875587221886
AT,1,1,81.61037693922913
AT,1,1,10.509512801585466
AT,1,2,0.0010114910262848
AT,1,2,8338.932069777642
AT,1,2,171.14106094725108
AT,1,2,8.385053562304082
AT,2,0,250.6407814736218
AT,2,0,23.012427247826835
AT,2,0,42.49564465020001
AT,2,1,193.6273440463275
AT,2,1,19.56012148881011
AT,2,1,36.24774466202935
AT,2,2,2788.052367640325
AT,2,2,22.014164404752524
AT,2,2,9.57093537817626
AT,6,0,0.0244878114066888
AT,6,0,484248.2471344474
AT,6,0,64403.95173470157
AT,6,0,252620.86215557935
AT,6,1,33230.54727925298
AT,6,1,14949.525134480136
AT,6,1,34499.699805834265
AT,6,2,165686.33503727755
AT,6,2,10670.99166705656
AT,6,2,7548.22796995528
BA,0,-1,1860.481934536416
BA,0,-1,2134248.7299986403
BA,0,-1,2361375.724694089
BA,0,-1,573994.7077210783
BA,1,0,4390.328924278982
BA,1,0,284.2161424280899
BA,1,0,36.877550854809925
BA,1,1,0.0042257072895783
BA,1,1,2540.847038106989
BA,1,1,349.0420506234934
BA,1,1,65.19235285874501
BA,1,2,0.0260645512872865
