Code_18,fty_zero_m2,fty_zero_ha
100,229749107300.0,22974910.73
211,1167198447700.0,116719844.77
212,105812566700.0,10581256.67
213,8034147900.0,803414.79
221,38321269200.0,3832126.92
222,42499833600.0,4249983.36
223,52060673900.0,5206067.39
231,380346200200.0,38034620.02
241,4623729400.0,462372.94
242,201705074300.0,20170507.43
243,177430871900.0,17743087.19
244,11564344000.0,1156434.4
311,60676394500.0,6067639.45
312,90423515700.0,9042351.57
313,34437887300.0,3443788.73
321,192624220400.0,19262422.04
322,152091928000.0,15209192.8
323,67056415300.0,6705641.53
324,123381409300.0,12338140.93
331,7190938200.0,719093.82
332,86876590800.0,8687659.08
333,222498336200.0,22249833.62
334,1622694700.0,162269.47
335,15492744600.0,1549274.46
411,11834959800.0,1183495.98
412,96934947200.0,9693494.72
421,5741196800.0,574119.68
422,735614600.0,73561.46
423,5768923300.0,576892.33
511,12247205200.0,1224720.52
512,126166692600.0,12616669.26
521,5211619700.0,521161.97
522,2966020500.0,296602.05
523,53677640100.0,5367764.01
999,205154400.0,20515.44
