Code_18,fty_zero_m2
100,229749107300.0
211,1167198447700.0
212,105812566700.0
213,8034147900.0
221,38321269200.0
222,42499833600.0
223,52060673900.0
231,380346200200.0
241,4623729400.0
242,201705074300.0
243,177430871900.0
244,11564344000.0
311,60676394500.0
312,90423515700.0
313,34437887300.0
321,192624220400.0
322,152091928000.0
323,67056415300.0
324,123381409300.0
331,7190938200.0
332,86876590800.0
333,222498336200.0
334,1622694700.0
335,15492744600.0
411,11834959800.0
412,96934947200.0
421,5741196800.0
422,735614600.0
423,5768923300.0
511,12247205200.0
512,126166692600.0
521,5211619700.0
522,2966020500.0
523,53677640100.0
999,205154400.0
